,bruises,cap-color,cap-radius,cap-shape,cap-surface,class,gill-attachment,gill-color,gill-size,gill-spacing,habitat,odor,population,ring-number,ring-radius,ring-type,spore-print-color,stalk-color-above-ring,stalk-color-below-ring,stalk-height,stalk-root,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,veil-color,veil-type
23,t,w,2.81323146,b,y,e,f,w,b,c,m,a,n,o,6.126806804,p,n,w,w,22.52479466,c,e,s,s,w,p
24,t,w,9.826517528,b,s,e,f,g,b,c,m,l,s,o,3.94136384,p,k,w,w,16.034086600000002,c,e,s,s,w,p
25,t,w,8.781450834,f,s,p,f,n,n,c,g,p,v,o,4.128136735,p,n,w,w,19.79010291,e,e,s,s,w,p
26,t,y,4.722118825,x,y,e,f,n,b,c,m,a,n,o,4.102185154,p,n,w,w,8.238006152,c,e,s,s,w,p
27,t,w,4.611636787,x,y,e,f,w,b,c,m,l,n,o,13.17590769,p,n,w,w,18.0019629,c,e,s,s,w,p
28,f,n,7.0199245029999995,f,f,e,f,k,n,c,u,n,y,o,6.511737517,p,k,w,w,7.534982768,e,e,s,s,w,p
29,t,y,5.24688971,x,s,e,f,n,n,w,d,a,v,o,8.656650042999999,p,n,w,w,7.937931456,b,t,s,s,w,p
30,t,y,8.609582528999999,b,s,e,f,g,b,c,m,l,n,o,11.38199374,p,n,w,w,4.525446957,c,e,s,s,w,p
31,t,w,11.75011039,x,y,p,f,k,n,c,u,p,s,o,8.181477897,p,n,w,w,15.71089502,e,e,s,s,w,p
32,t,y,12.06677128,x,y,e,f,n,b,c,m,l,n,o,13.32116099,p,n,w,w,4.407363623,c,e,s,s,w,p
33,t,n,6.478549638,x,y,e,f,p,b,c,p,l,y,o,6.099268175,p,n,w,w,20.26776623,r,e,s,y,w,p
34,t,y,9.422942799,b,y,e,f,n,b,c,m,l,s,o,2.1815718669999997,p,n,w,w,9.948048156,c,e,s,s,w,p
35,t,y,8.308751798,x,f,e,f,w,n,w,d,l,v,o,4.814187118,p,n,w,w,21.48685897,b,t,s,s,w,p
36,f,g,11.21719477,s,f,e,f,k,n,c,u,n,v,o,7.772841267,p,k,w,w,23.18727171,e,e,s,s,w,p
37,t,n,1.3959001340000001,x,y,p,f,w,n,c,u,p,s,o,5.146384257,p,n,w,w,22.67454064,e,e,s,s,w,p
38,t,y,3.35851094,x,f,e,f,p,n,w,d,a,v,o,13.22012271,p,n,w,w,2.712108259,b,t,s,s,w,p
39,t,y,4.50403971,b,s,e,f,k,b,c,m,l,s,o,13.38169004,p,k,w,w,25.16846043,c,e,s,s,w,p
40,t,y,5.49861533,b,y,e,f,n,b,c,g,a,s,o,3.625820497,p,n,w,w,15.40281693,c,e,s,s,w,p
41,t,y,3.1162153210000003,x,y,e,f,n,b,c,p,l,y,o,4.645416754,p,k,w,w,16.41477125,r,e,s,y,w,p
42,f,n,2.2974925219999998,x,f,e,f,g,n,c,u,n,y,o,14.37317605,p,k,w,w,23.80862104,e,e,s,s,w,p
43,t,w,5.361535479,x,y,p,f,p,n,c,g,p,v,o,3.2907894619999998,p,n,w,w,16.24365016,e,e,s,s,w,p
44,t,y,10.384184699999999,x,s,e,f,w,b,c,m,a,n,o,7.3421004210000005,p,k,w,w,12.6332586,c,e,s,s,w,p
45,t,w,6.373770339,x,y,e,f,n,b,c,g,a,n,o,4.2776165839999996,p,n,w,w,19.70060861,c,e,s,s,w,p
46,t,y,5.479654915,x,y,e,f,k,b,c,m,l,s,o,3.846446013,p,k,w,w,24.85095276,c,e,s,s,w,p
47,t,w,6.434249135,x,s,e,f,w,b,c,m,l,n,o,6.006035852999999,p,n,w,w,6.103342846,c,e,s,s,w,p
48,t,y,6.475004806,x,y,e,f,n,b,c,p,l,s,o,13.61926914,p,n,w,w,11.57764239,r,e,s,y,w,p
49,t,y,9.947178285,f,y,e,f,w,b,c,p,l,s,o,4.494613007,p,k,w,w,17.76097242,r,e,s,y,w,p
50,t,n,7.7590237570000005,x,y,e,f,w,b,c,g,a,s,o,11.35714562,p,k,w,w,24.12088315,r,e,s,y,w,p
51,t,w,10.02471255,x,s,e,f,k,b,c,g,l,s,o,13.63680543,p,k,w,w,10.80795744,c,e,s,s,w,p
52,t,w,1.2400111440000001,b,s,e,f,k,b,c,m,l,n,o,11.60065942,p,n,w,w,24.057575399999998,c,e,s,s,w,p
53,t,n,12.69697039,x,y,p,f,k,n,c,u,p,v,o,6.754828256000001,p,n,w,w,19.41348677,e,e,s,s,w,p
54,t,w,9.821776191,x,s,p,f,k,n,c,u,p,v,o,2.31647619,p,k,w,w,20.9889893,e,e,s,s,w,p
55,t,y,8.285772437,b,y,e,f,w,b,c,m,a,s,o,4.864693817,p,k,w,w,5.465531868999999,c,e,s,s,w,p
56,f,g,10.23210391,f,f,e,f,n,b,w,g,n,a,o,4.158687471,e,n,w,w,9.176767357000001,e,t,s,s,w,p
57,t,w,8.847985471,b,s,e,f,w,b,c,g,a,n,o,12.63734435,p,n,w,w,6.5695310760000005,c,e,s,s,w,p
58,t,y,5.362498431000001,x,s,e,f,k,b,c,g,l,n,o,2.58077298,p,k,w,w,5.11802107,c,e,s,s,w,p
59,t,n,6.148683559,x,y,e,f,p,b,c,p,a,y,o,10.4235356,p,k,w,w,9.460987996,r,e,s,y,w,p
60,f,g,11.32703275,s,f,e,f,k,n,c,u,n,v,o,9.018376663,p,n,w,w,17.54976011,e,e,s,s,w,p
61,t,y,5.224928011,b,y,e,f,k,b,c,m,a,s,o,4.817921623,p,n,w,w,4.13744303,c,e,s,s,w,p
62,t,y,4.09246311,b,s,e,f,g,b,c,m,l,s,o,8.956096516,p,n,w,w,23.80014311,c,e,s,s,w,p
63,t,y,2.319148146,b,y,e,f,g,b,c,m,l,n,o,2.280296877,p,n,w,w,23.29487452,c,e,s,s,w,p
64,t,w,12.78359411,b,y,e,f,n,b,c,g,l,s,o,11.42928496,p,n,w,w,8.499532013,c,e,s,s,w,p
65,f,n,4.264884942,f,s,e,f,k,b,w,g,n,a,o,7.840367204,e,k,w,w,9.10261191,e,t,s,s,w,p
66,t,w,7.858656976000001,x,s,e,f,n,b,c,g,l,s,o,1.767077153,p,k,w,w,24.43125329,c,e,s,s,w,p
67,t,y,11.39601792,f,y,e,f,w,b,c,g,a,s,o,9.755457609,p,n,w,w,3.3041037189999996,r,e,s,y,w,p
68,t,y,6.719327862,x,y,e,f,w,b,c,g,a,n,o,6.367712751,p,k,w,w,16.766378099999997,c,e,s,s,w,p
69,f,g,11.85666319,x,f,e,f,p,n,c,u,n,v,o,3.190697422,p,n,w,w,6.855928652,e,e,s,s,w,p
70,t,y,12.46555728,f,f,e,f,p,n,w,d,l,v,o,11.70799331,p,n,w,w,23.47999801,b,t,s,s,w,p
71,t,w,6.398833715,b,y,e,f,g,b,c,m,l,s,o,7.419813105,p,n,w,w,9.563822319,c,e,s,s,w,p
72,t,y,10.44096897,f,f,e,f,w,n,w,d,l,v,o,3.61218682,p,n,w,w,2.933529415,b,t,s,s,w,p
73,t,n,4.834386321,x,y,e,f,p,b,c,p,a,s,o,4.263984369,p,k,w,w,10.59297872,r,e,s,y,w,p
74,t,y,8.245352795,b,s,e,f,k,b,c,g,a,s,o,4.991942033,p,k,w,w,20.52872433,c,e,s,s,w,p
75,t,y,9.083482287999999,f,s,e,f,p,n,w,d,l,v,o,8.434603673,p,n,w,w,8.742140213999999,b,t,s,s,w,p
76,t,w,3.8877717830000003,x,s,e,f,n,n,w,d,l,v,o,12.29017885,p,u,w,w,14.91719273,b,t,s,s,w,p
77,t,n,1.242288028,f,y,e,f,p,b,c,p,l,y,o,5.111970909,p,n,w,w,14.72132891,r,e,s,y,w,p
78,t,n,12.14615035,x,y,p,f,w,n,c,u,p,v,o,8.86293095,p,n,w,w,19.83697827,e,e,s,s,w,p
79,t,n,11.08882525,f,y,e,f,n,b,c,g,a,y,o,9.824107513,p,n,w,w,3.630321331,r,e,s,y,w,p
80,f,n,12.67046002,x,s,e,f,k,b,w,g,n,s,o,11.82238979,e,n,w,w,22.09840319,e,t,f,s,w,p
81,t,w,8.011608763,x,y,p,f,w,n,c,g,p,s,o,3.041105915,p,k,w,w,6.084896492,e,e,s,s,w,p
82,f,g,8.726966187999999,f,f,e,f,n,n,c,u,n,y,o,2.036628619,p,n,w,w,3.2778827039999996,e,e,s,s,w,p
83,f,g,2.979423875,x,f,e,f,n,b,w,g,n,s,o,13.63398868,e,n,w,w,15.32391537,e,t,s,s,w,p
84,t,y,12.49960388,x,y,e,f,w,b,c,g,l,s,o,14.10779068,p,k,w,w,21.00081858,r,e,s,y,w,p
85,f,n,6.11339013,x,s,e,f,k,b,w,g,n,s,o,12.49447709,e,k,w,w,23.90862088,e,t,s,s,w,p
86,t,w,3.8696930860000003,b,s,e,f,w,b,c,g,a,s,o,13.81775858,p,k,w,w,23.46006373,c,e,s,s,w,p
87,t,w,9.391066416000001,x,s,e,f,n,b,c,g,l,s,o,11.44859693,p,n,w,w,21.76756005,c,e,s,s,w,p
88,t,n,4.799403406000001,f,y,e,f,w,b,c,g,l,y,o,13.15825633,p,k,w,w,21.96389635,r,e,s,y,w,p
89,f,n,4.0540523969999995,s,f,e,f,n,n,c,u,n,v,o,8.090710326,p,n,w,w,22.69480761,e,e,s,s,w,p
90,f,n,7.675376181,x,f,e,f,n,n,c,u,n,y,o,7.654143303,p,n,w,w,6.218668941000001,e,e,s,s,w,p
91,t,w,4.74838774,b,s,e,f,k,b,c,g,l,s,o,12.63298167,p,k,w,w,6.17014788,c,e,s,s,w,p
92,t,y,12.34743686,x,y,e,f,g,b,c,g,a,s,o,9.494661811,p,k,w,w,20.45363218,c,e,s,s,w,p
93,t,y,1.7679131540000002,x,y,e,f,g,b,c,m,l,n,o,6.937136679,p,k,w,w,25.0843198,c,e,s,s,w,p
94,f,n,5.622321459,x,s,e,f,n,b,w,g,n,a,o,4.655810005,e,n,w,w,9.750351178999999,e,t,s,s,w,p
95,t,w,13.18950608,x,s,e,f,g,b,c,g,a,s,o,8.539191889,p,n,w,w,2.910146145,c,e,s,s,w,p
96,t,n,1.239576101,f,y,e,f,p,b,c,g,l,s,o,10.30412129,p,n,w,w,16.09283491,r,e,s,y,w,p
97,t,y,9.339265823,x,s,e,f,n,b,c,g,a,n,o,13.63644841,p,k,w,w,5.76238012,c,e,s,s,w,p
98,t,w,8.067322791,b,s,e,f,g,b,c,g,a,s,o,10.9196228,p,n,w,w,8.260889653,c,e,s,s,w,p
99,t,w,12.89970517,x,y,e,f,g,b,c,g,a,s,o,12.29838507,p,k,w,w,24.5787676,c,e,s,s,w,p
100,f,n,8.072217577,x,f,e,f,p,b,w,g,n,s,o,7.708723981,e,k,w,w,3.53934153,e,t,f,s,w,p
101,t,y,5.5240841089999995,b,s,e,f,n,b,c,g,l,n,o,9.537120751,p,k,w,w,24.42086942,c,e,s,s,w,p
102,t,y,8.206096087999999,f,y,e,f,w,b,c,g,l,s,o,7.205862505,p,n,w,w,15.34314677,r,e,s,y,w,p
103,t,y,6.425824764,x,y,e,f,n,b,c,p,a,y,o,3.907417227,p,k,w,w,7.739554637,r,e,s,y,w,p
104,t,w,2.0668501409999998,b,y,e,f,g,b,c,g,l,n,o,5.340188886,p,n,w,w,3.5388173610000004,c,e,s,s,w,p
105,t,y,,x,y,e,f,n,b,c,m,a,n,o,9.358871565,p,k,w,w,6.804927348,c,e,s,s,w,p
106,t,y,5.1728347480000005,x,y,e,f,w,b,c,g,a,y,o,10.597926699999999,p,n,w,w,19.20872111,r,e,s,y,w,p
107,t,w,1.389302988,b,y,e,f,n,b,c,m,l,s,o,4.072893977,p,k,w,w,15.01107601,c,e,s,s,w,p
108,t,w,11.907173599999998,b,y,e,f,g,b,c,m,a,s,o,2.876359433,p,n,w,w,13.47793251,c,e,s,s,w,p
109,t,y,5.980814036,x,s,e,f,k,b,c,m,a,n,o,8.766275138,p,k,w,w,12.07502888,c,e,s,s,w,p
110,t,y,6.138903113,x,s,e,f,w,b,c,g,l,n,o,7.508220046,p,k,w,w,11.39673093,c,e,s,s,w,p
111,f,g,7.052121486,s,f,e,f,g,n,c,u,n,y,o,3.58887816,p,k,w,w,18.09618625,e,e,s,s,w,p
112,t,w,10.86300294,x,f,e,f,w,n,w,d,a,v,o,2.235461977,p,u,w,w,18.40767357,b,t,s,s,w,p
113,t,y,13.03941574,x,s,e,f,n,b,c,m,a,n,o,13.32902014,p,k,w,w,8.033136871,c,e,s,s,w,p
114,t,w,4.99761111,x,y,p,f,n,n,c,u,p,v,o,6.702175846,p,n,w,w,24.18015069,e,e,s,s,w,p
115,t,y,3.4965347330000003,x,y,e,f,p,b,c,g,l,s,o,14.12879489,p,n,w,w,15.77132334,r,e,s,y,w,p
116,f,g,12.44368569,s,f,e,f,p,n,c,u,n,y,o,5.763824214,p,n,w,w,16.6636596,e,e,s,s,w,p
117,t,y,4.1246437160000005,x,y,e,f,w,b,c,g,l,y,o,6.107096176000001,p,k,w,w,6.499972871000001,r,e,s,y,w,p
118,t,y,7.4532512220000005,x,s,e,f,p,n,w,d,l,v,o,14.48592445,p,u,w,w,12.1705663,b,t,s,s,w,p
119,f,n,11.02380349,s,f,e,f,k,n,c,u,n,y,o,6.336606524,p,n,w,w,21.29300703,e,e,s,s,w,p
120,t,w,13.09796904,x,s,p,f,k,n,c,g,p,v,o,2.614896096,p,k,w,w,16.33169737,e,e,s,s,w,p
121,t,w,1.994251187,x,y,e,f,g,b,c,m,a,n,o,9.387374752000001,p,n,w,w,9.646619699999999,c,e,s,s,w,p
122,t,n,12.206793199999998,f,y,p,f,p,n,c,g,p,v,o,8.763202084,p,k,w,w,7.946923251,e,e,s,s,w,p
123,f,g,7.608569863,f,s,e,f,k,b,w,g,n,a,o,7.175225526,e,n,w,w,2.770993568,e,t,s,s,w,p
124,t,y,3.597684756,x,s,e,f,g,b,c,m,l,s,o,7.131690614,p,n,w,w,8.131872061000001,c,e,s,s,w,p
125,f,w,10.08634194,x,s,e,f,n,b,w,g,n,s,o,3.970507087,e,k,w,w,18.75748892,e,t,s,f,w,p
126,t,y,4.525237247,b,s,e,f,w,b,c,g,a,n,o,7.845789418,p,n,w,w,24.70588346,c,e,s,s,w,p
127,f,g,2.9094694960000003,f,f,e,f,h,b,w,g,n,a,o,10.75906996,e,n,w,w,5.080841919,e,t,s,s,w,p
128,t,w,12.36377901,x,s,e,f,n,b,c,g,l,n,o,5.867499581000001,p,k,w,w,12.90379857,c,e,s,s,w,p
129,t,w,2.179210013,b,s,e,f,n,b,c,m,l,s,o,11.84785493,p,n,w,w,22.34099646,c,e,s,s,w,p
130,t,w,6.898818865,b,s,e,f,w,b,c,g,l,s,o,8.714132751000001,p,n,w,w,5.192635558,c,e,s,s,w,p
131,t,w,12.67647728,b,y,e,f,w,b,c,m,l,s,o,12.09066334,p,n,w,w,22.38980972,c,e,s,s,w,p
132,t,w,5.725066299,f,s,e,f,w,n,w,d,l,v,o,4.677193431,p,u,w,w,11.49070555,b,t,s,s,w,p
133,t,y,11.29256992,x,y,e,f,g,b,c,m,l,s,o,7.474925138,p,k,w,w,8.150654295,c,e,s,s,w,p
134,t,w,10.81698761,f,s,e,f,p,n,w,d,a,v,o,9.515483436,p,n,w,w,13.71720901,b,t,s,s,w,p
135,t,w,11.21614132,x,y,p,f,w,n,c,u,p,v,o,3.9439218019999998,p,n,w,w,16.71131106,e,e,s,s,w,p
136,t,w,9.032535392,f,f,e,f,w,n,w,d,l,v,o,6.443716788,p,n,w,w,6.572787109,b,t,s,s,w,p
137,t,y,9.565613445,x,y,e,f,n,b,c,g,a,s,o,1.952017795,p,n,w,w,19.16988954,c,e,s,s,w,p
138,t,n,5.377208223999999,x,s,p,f,p,n,c,g,p,v,o,10.58330049,p,n,w,w,13.02546216,e,e,s,s,w,p
139,t,y,1.272022174,b,s,e,f,w,b,c,g,l,n,o,7.497243875,p,n,w,w,7.151679643,c,e,s,s,w,p
140,t,n,9.905713972000001,x,y,e,f,w,b,c,p,a,y,o,8.099054299,p,k,w,w,13.99005602,r,e,s,y,w,p
141,t,y,5.818209144,b,y,e,f,g,b,c,m,l,n,o,13.00842582,p,k,w,w,8.595385109,c,e,s,s,w,p
142,f,n,1.278051177,s,f,e,f,k,n,c,u,n,v,o,7.607694319,p,n,w,w,5.083617188,e,e,s,s,w,p
143,t,n,12.89401437,f,y,e,f,w,b,c,p,a,y,o,12.01213886,p,k,w,w,21.26637208,r,e,s,y,w,p
144,t,y,11.02310695,x,y,e,f,k,b,c,g,a,n,o,3.800975055,p,k,w,w,9.472531157999999,c,e,s,s,w,p
145,f,g,6.604017185,x,f,e,f,k,b,w,g,n,s,o,11.62821564,e,k,w,w,9.727054217000001,e,t,f,f,w,p
146,f,w,3.18334779,f,f,e,f,k,b,w,g,n,a,o,7.383097806,e,n,w,w,16.4082809,e,t,s,f,w,p
147,t,y,5.271561108,x,y,e,f,w,b,c,m,l,n,o,7.865246264,p,n,w,w,7.082463582999999,c,e,s,s,w,p
148,t,y,5.407592267999999,b,s,e,f,k,b,c,g,l,n,o,3.120087903,p,k,w,w,22.91645591,c,e,s,s,w,p
149,t,w,5.712050877999999,b,y,e,f,g,b,c,m,a,n,o,9.478878516,p,k,w,w,9.024976492,c,e,s,s,w,p
150,t,w,10.15788727,x,y,e,f,w,b,c,g,a,s,o,5.30244715,p,n,w,w,18.18972722,c,e,s,s,w,p
151,f,n,12.19734817,x,s,e,f,p,b,w,g,n,a,o,5.20244611,e,n,w,w,2.621949357,e,t,f,s,w,p
152,t,w,5.553381018,x,y,e,f,g,b,c,g,l,s,o,4.484460467,p,n,w,w,13.669257199999999,c,e,s,s,w,p
153,f,n,12.80801477,s,f,e,f,k,n,c,u,n,v,o,9.402701545,p,k,w,w,14.86884372,e,e,s,s,w,p
154,t,w,8.472403945,x,s,e,f,w,n,w,d,a,v,o,4.833922036000001,p,u,w,w,15.763280300000002,b,t,s,s,w,p
155,t,n,12.02157257,x,y,e,f,w,b,c,g,l,s,o,13.35634621,p,k,w,w,13.09716006,r,e,s,y,w,p
156,t,y,1.772750659,b,y,e,f,k,b,c,g,a,n,o,9.16434539,p,n,w,w,17.65807791,c,e,s,s,w,p
157,t,w,8.588687272,x,y,e,f,k,b,c,g,a,n,o,7.301667952000001,p,n,w,w,10.62836948,c,e,s,s,w,p
158,t,w,8.572730678,b,y,e,f,n,b,c,m,a,s,o,13.08181801,p,k,w,w,10.86635485,c,e,s,s,w,p
159,t,y,11.36668715,b,s,e,f,g,b,c,g,a,s,o,4.387447498999999,p,k,w,w,13.87116421,c,e,s,s,w,p
160,t,y,8.899996559,b,s,e,f,g,b,c,m,l,s,o,14.49420695,p,k,w,w,19.60452,c,e,s,s,w,p
161,t,y,11.48808806,b,y,e,f,n,b,c,g,a,n,o,4.29896757,p,k,w,w,25.05485806,c,e,s,s,w,p
162,f,n,7.646640015,x,f,e,f,k,n,c,u,n,y,o,2.525016188,p,n,w,w,3.378096755,e,e,s,s,w,p
163,t,n,6.730017607000001,f,y,e,f,n,b,c,g,l,y,o,6.069905307999999,p,n,w,w,13.34521592,r,e,s,y,w,p
164,t,w,10.02192581,x,y,e,f,k,b,c,g,a,s,o,2.327069172,p,n,w,w,21.76473252,c,e,s,s,w,p
165,t,y,1.708723728,f,y,e,f,w,b,c,p,l,y,o,2.384446578,p,n,w,w,10.98409713,r,e,s,y,w,p
166,t,w,3.3174757789999996,b,s,e,f,w,b,c,g,a,s,o,2.231356475,p,n,w,w,9.142196565,c,e,s,s,w,p
167,t,w,6.66896455,b,s,e,f,w,b,c,m,a,s,o,14.4349193,p,k,w,w,17.17472335,c,e,s,s,w,p
168,t,n,2.186131832,x,y,e,f,w,b,c,g,l,y,o,8.874024459,p,k,w,w,9.877250865,r,e,s,y,w,p
169,t,w,8.853476871,b,s,e,f,k,b,c,g,a,s,o,3.260339759,p,k,w,w,25.24831387,c,e,s,s,w,p
170,f,g,11.44438965,x,f,e,f,g,n,c,u,n,y,o,4.476242858,p,n,w,w,17.54963279,e,e,s,s,w,p
171,t,y,9.070020012999999,b,s,e,f,k,b,c,g,l,s,o,2.8496851260000002,p,n,w,w,10.88576976,c,e,s,s,w,p
172,t,y,5.220215081,x,f,e,f,n,n,w,d,l,v,o,2.684684331,p,u,w,w,4.646082084,b,t,s,s,w,p
173,t,y,3.8413817669999997,b,y,e,f,w,b,c,g,a,s,o,13.71617183,p,k,w,w,20.04252854,c,e,s,s,w,p
174,t,y,10.49491833,f,y,e,f,p,b,c,g,l,s,o,12.32001965,p,n,w,w,2.494917978,r,e,s,y,w,p
175,t,w,5.0692106610000005,b,y,e,f,w,b,c,m,l,n,o,6.205545915,p,k,w,w,13.24440619,c,e,s,s,w,p
176,t,w,6.141591653,b,y,e,f,k,b,c,m,a,n,o,12.70832556,p,k,w,w,10.28900574,c,e,s,s,w,p
177,t,y,10.61583198,b,y,e,f,g,b,c,g,a,s,o,9.787148612000001,p,n,w,w,4.693371364,c,e,s,s,w,p
178,t,y,5.204997518,x,y,e,f,g,b,c,m,l,n,o,10.96385055,p,n,w,w,21.69725192,c,e,s,s,w,p
179,t,y,1.804400749,b,s,e,f,g,b,c,g,l,n,o,3.5479807130000003,p,n,w,w,6.3592781060000005,c,e,s,s,w,p
180,t,w,10.07217373,x,y,p,f,p,n,c,u,p,v,o,4.48103904,p,n,w,w,7.411536057,e,e,s,s,w,p
181,f,n,9.664738494,s,f,e,f,g,n,c,u,n,y,o,10.24754461,p,n,w,w,16.79422595,e,e,s,s,w,p
182,f,n,11.700608500000001,f,f,e,f,g,n,c,u,n,v,o,7.638038001,p,k,w,w,14.06749362,e,e,s,s,w,p
183,t,y,10.09371106,x,s,e,f,g,b,c,m,a,s,o,14.07580184,p,n,w,w,21.02338719,c,e,s,s,w,p
184,t,n,11.69862558,f,y,e,f,p,b,c,p,a,s,o,6.458172693,p,k,w,w,4.221991078,r,e,s,y,w,p
185,t,w,10.01524815,x,y,p,f,k,n,c,g,p,s,o,9.189525067,p,k,w,w,11.07635913,e,e,s,s,w,p
186,t,w,6.744560003999999,b,s,e,f,g,b,c,m,l,s,o,2.678406218,p,n,w,w,18.89971624,c,e,s,s,w,p
187,f,g,10.58384083,f,f,e,f,p,n,c,u,n,v,o,4.087926421000001,p,k,w,w,2.791985897,e,e,s,s,w,p
188,t,y,2.414829271,b,y,e,f,g,b,c,g,l,n,o,3.0290473560000004,p,n,w,w,22.09156324,c,e,s,s,w,p
189,t,n,12.28033233,x,y,e,f,w,b,c,p,a,y,o,12.57956527,p,n,w,w,21.71424489,r,e,s,y,w,p
190,f,w,8.228219978,x,f,e,f,p,b,w,g,n,s,o,11.48645046,e,k,w,w,9.012739777,e,t,s,f,w,p
191,t,w,3.357009376,x,s,e,f,w,n,w,d,l,v,o,3.253143495,p,n,w,w,17.28208205,b,t,s,s,w,p
192,t,w,3.35293621,b,s,e,f,w,b,c,m,l,s,o,2.984850223,p,n,w,w,8.149259231,c,e,s,s,w,p
193,t,y,6.74930349,f,s,e,f,w,n,w,d,a,v,o,11.64746934,p,n,w,w,7.046652192000001,b,t,s,s,w,p
194,t,y,9.026604227,x,s,e,f,k,b,c,m,a,n,o,6.454126765,p,n,w,w,23.30675475,c,e,s,s,w,p
195,f,g,9.999073425,f,f,e,f,g,n,c,u,n,y,o,10.55341197,p,n,w,w,9.834171827,e,e,s,s,w,p
196,t,y,8.442276168,b,s,e,f,n,b,c,g,a,s,o,6.8467481,p,k,w,w,8.699764775,c,e,s,s,w,p
197,t,w,7.2750126260000005,x,s,e,f,g,b,c,m,l,n,o,12.48175432,p,n,w,w,17.86796656,c,e,s,s,w,p
198,t,w,7.316163368,x,y,e,f,n,b,c,m,l,s,o,4.804743783999999,p,n,w,w,20.05012727,c,e,s,s,w,p
199,t,w,9.62051182,f,s,e,f,n,n,w,d,a,v,o,12.81758654,p,n,w,w,7.047158505,b,t,s,s,w,p
200,t,y,4.026519119,x,y,e,f,w,b,c,g,l,s,o,9.759970832,p,n,w,w,25.14043813,c,e,s,s,w,p
201,t,w,9.799769767,b,s,e,f,w,b,c,g,l,s,o,4.252943998,p,k,w,w,4.717215778,c,e,s,s,w,p
202,t,w,8.267720371000001,x,s,e,f,g,b,c,g,a,n,o,3.239621,p,k,w,w,23.63953541,c,e,s,s,w,p
